inicializacao, multiplicacao, finalizacao, total, threads
0.019152, 30.100505, 0.004038, 30.123695, 1
0.005476, 30.092788, 0.004087, 30.102351, 1
0.007139, 30.165426, 0.003110, 30.175675, 1
0.008150, 29.899561, 0.003021, 29.910732, 1
0.006134, 29.864412, 0.003042, 29.873588, 1
0.007404, 15.587707, 0.003126, 15.598237, 2
0.007581, 15.370734, 0.003026, 15.381341, 2
0.007495, 15.418099, 0.004343, 15.429938, 2
0.007677, 15.477249, 0.002984, 15.487910, 2
0.006930, 15.492148, 0.002846, 15.501924, 2
0.006049, 7.897382, 0.002931, 7.906362, 4
0.007864, 8.173372, 0.002982, 8.184218, 4
0.005973, 8.261168, 0.002939, 8.270081, 4
0.006230, 8.399885, 0.003935, 8.410050, 4
0.007455, 8.233865, 0.002797, 8.244117, 4
0.008172, 6.517680, 0.002819, 6.528672, 8
0.007440, 6.311100, 0.002631, 6.321171, 8
0.007804, 6.615469, 0.002616, 6.625889, 8
0.007219, 6.371789, 0.002605, 6.381613, 8
0.004255, 6.366431, 0.002741, 6.373427, 8
